13	1	1	0	0	0	0	2221	1212	2112	1122	1111	1	2	NA	NA	Failed to respond	6.0164847767	9.5211207011	3.5	9.52112489157	10.5209449804	1	12.5337848805	13.5330825566	1	10.5283163084	12.5337792932	2.0	243.352261251	0	[1, 0, 2, 3]	['2221', '1222', '1121', '1211', '2122', '2222', '2121', '1122', '2212', '2112', '2111', '1221', '1212', '2211', '1111', '1112']	
13	1	1	0	1	0	1	1222	1111	2121	2112	2211	4	2	['3']	1.25031421591	Incorrect	13.5496416444	17.0538403624	3.5	17.0538442735	19.0535825084	2	21.0541225212	22.0533375052	1	19.0579928455	21.0541163751	2.0	243.352261251	0	[1, 0, 2, 3]	['2221', '1222', '1121', '1211', '2122', '2222', '2121', '1122', '2212', '2112', '2111', '1221', '1212', '2211', '1111', '1112']	
13	1	1	0	2	0	2	1121	1212	2222	2112	2211	3	2	['1']	0.9839596932	Incorrect	22.069559958	25.5698249359	3.5	25.5698285676	26.5696467009	1	28.5868385507	31.585894576	3	26.5729021426	28.5868329634	2.0	243.352261251	0	[1, 0, 2, 3]	['2221', '1222', '1121', '1211', '2122', '2222', '2121', '1122', '2212', '2112', '2111', '1221', '1212', '2211', '1111', '1112']	
13	1	1	0	3	0	3	1211	1122	2222	2121	2112	2	2	['4']	0.766416402083	Incorrect	31.6029417147	35.1190369167	3.5	35.1190405485	37.1187779452	2	39.1193199136	42.1183711896	3	37.1222864917	39.1193143263	2.0	243.352261251	0	[1, 0, 2, 3]	['2221', '1222', '1121', '1211', '2122', '2222', '2121', '1122', '2212', '2112', '2111', '1221', '1212', '2211', '1111', '1112']	
13	1	1	0	4	0	4	2122	2211	1111	1221	1212	2	2	['2']	1.23116401666	Correct	42.1373311412	45.6515121335	3.5	45.6515157653	46.6513347367	1	48.6518713971	49.6510897335	1	46.6546362736	48.6518655304	2.0	243.352261251	0	[1, 0, 2, 3]	['2221', '1222', '1121', '1211', '2122', '2222', '2121', '1122', '2212', '2112', '2111', '1221', '1212', '2211', '1111', '1112']	
13	1	1	0	5	0	5	2222	2111	1112	1211	1121	3	2	['3']	1.16761040858	Correct	49.6669288974	53.1675749292	3.5	53.1675782816	56.1672279577	3	58.1677604276	60.183568582	2	56.1703127073	58.167754561	2.0	243.352261251	0	[1, 0, 2, 3]	['2221', '1222', '1121', '1211', '2122', '2222', '2121', '1122', '2212', '2112', '2111', '1221', '1212', '2211', '1111', '1112']	
13	1	1	0	6	0	6	2121	1222	1211	2212	1112	4	2	['4']	1.36656586242	Correct	60.2004433524	63.7167114815	3.5	63.7167148339	64.7165329672	1	66.7170662752	69.7161784528	3	64.7198252851	66.7170606879	2.0	243.352261251	0	[1, 0, 2, 3]	['2221', '1222', '1121', '1211', '2122', '2222', '2121', '1122', '2212', '2112', '2111', '1221', '1212', '2211', '1111', '1112']	
13	1	1	0	7	0	7	1122	2111	1211	2212	2221	1	2	['1']	1.43316175659	Correct	69.7332211217	73.249582838	3.5	73.2495864698	75.2494780761	2	77.2501600064	79.249459638	2	75.2525698098	77.2501544191	2.0	243.352261251	0	[1, 0, 2, 3]	['2221', '1222', '1121', '1211', '2122', '2222', '2121', '1122', '2212', '2112', '2111', '1221', '1212', '2211', '1111', '1112']	
13	1	1	1	0	1	0	2111	1221	1122	1212	2222	4	1	['2']	1.11629746239	Incorrect	79.2667299894	82.7828763153	3.5	82.7828802264	84.7827707153	2	86.783465217	89.7827497629	3	84.7860867792	86.783459909	2.0	243.352261251	0	[1, 0, 2, 3]	['2111', '1122', '1221', '2211', '2121', '1112', '2222', '1211', '2112', '1121', '1222', '1212', '2122', '2221', '1111', '2212']	
13	1	1	1	1	1	1	1122	1211	2221	2111	2212	1	1	['2']	1.16585236392	Incorrect	89.8004436318	93.3161664401	3.5	93.3161697925	94.3160639132	1	96.316753945	98.3160471512	2	94.3193942247	96.3167483577	2.0	243.352261251	0	[1, 0, 2, 3]	['2111', '1122', '1221', '2211', '2121', '1112', '2222', '1211', '2112', '1121', '1222', '1212', '2122', '2221', '1111', '2212']	
